Cde_Pays;Pays;Cde_Unité;Unité;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
AUT;Autriche;PT_B1GQ;Pourcentage du PIB;70,7;69,7;68,8;72,5;71,7;69,5;73,5;84,3;87,4;87,1;90,0;90,1;92,6;93,0;90,7;86,6;82,3;78,6;92,9;92,0;86,9;86,1;88,1
AUT;Autriche;XDC;Monnaie nationale;159110,9;160705,6;165422,5;183052,4;190628,8;196121,3;214420,5;241336,8;256951,2;268496,3;285055,0;289288,4;305692,8;318136,3;322631,8;318201,0;315370,5;310955,5;353168,7;373878,0;390571,4;411645,8;435176,7
BEL;Belgique;XDC;Monnaie nationale;297147,0;301133,0;302730,0;309644,0;312261,0;316154,0;342953,0;364364,0;380516,0;406651,0;422672,0;432586,0;451613,0;459251,0;474580,0;480533,0;486431,0;494938,0;547943,0;583968,0;617570,0;651754,0;677956,0
BEL;Belgique;PT_B1GQ;Pourcentage du PIB;108,7;107,1;102,0;99,9;96,0;92,0;97,5;104,8;104,8;107,4;109,0;109,6;111,5;110,5;110,8;108,4;105,9;103,2;118,2;115,4;110,0;108,2;109,3
DEU;Allemagne;XDC;Monnaie nationale;1330083,1;1419426,0;1489670,9;1561020,5;1610903,7;1619064,6;1687442,0;1804696,0;2119241,8;2155875,7;2234802,5;2220281,0;2224559,5;2197473,8;2182375,0;2132783,9;2086432,0;2075824,3;2347936,5;2501718,7;2569045,8;2630569,7;2693780,2
DEU;Allemagne;PT_B1GQ;Pourcentage du PIB;59,8;63,3;65,0;67,1;66,4;63,7;65,2;72,4;81,0;78,5;79,8;77,5;74,5;71,2;68,3;64,0;60,8;58,7;68,0;67,9;64,4;62,3;62,2
ESP;Espagne;XDC;Monnaie nationale;417298,2;415660,5;424391,9;434474,4;443273,5;445389,0;506355,1;643756,8;729680,3;834356,7;996556,7;1090118,2;1150411,3;1178341,9;1205549,7;1249942,3;1285546,9;1305108,4;1428631,9;1546722,8;1634208,0;1707537,3;1772005,6
ESP;Espagne;PT_B1GQ;Pourcentage du PIB;55,7;51,8;49,3;46,8;44,1;41,3;45,5;60,0;67,7;78,1;96,2;106,3;110,7;108,4;107,4;106,8;106,0;104,1;126,5;125,2;118,8;114,0;111,1
EST;Estonie;PT_B1GQ;Pourcentage du PIB;7,4;8,2;8,3;8,2;8,1;7,3;8,6;13,4;13,2;10,8;14,4;14,7;14,7;13,4;13,8;13,3;13,0;13,8;25,0;25,1;27,1;29,2;33,0
EST;Estonie;XDC;Monnaie nationale;581,6;720,7;811,2;931,2;1103,7;1194,6;1422,8;1896,6;1941,1;1816,4;2596,0;2820,6;2989,0;2809,5;3056,5;3223,9;3445,4;3931,0;6963,1;7888,5;9826,9;11186,6;13146,9
FIN;Finlande;PT_B1GQ;Pourcentage du PIB;47,2;49,6;49,4;46,5;44,4;40,6;39,0;49,9;55,7;57,4;63,5;66,5;70,2;75,0;75,4;74,8;72,3;71,5;81,9;78,8;81,1;84,9;89,8
FIN;Finlande;XDC;Monnaie nationale;70121,0;75318,0;78438,0;76489,0;76695,0;75854,0;75739,0;90751,0;104807,0;113411,0;127183,0;135303,0;144601,0;157717,0;162720,0;168072,0;167583,0;170514,0;193612,0;196088,0;215829,0;231835,0;247775,0
FRA;France;XDC;Monnaie nationale;1134336,5;1235090,4;1296306,9;1368998,7;1390103,7;1467577,7;1582166,6;1810904,2;1914557,2;2019157,3;2114247,2;2235260,2;2319195,5;2399125,0;2469360,6;2575697,8;2624925,1;2646413,0;2939837,0;3102938,3;3233965,1;3388427,8;3579977,6
FRA;France;PT_B1GQ;Pourcentage du PIB;71,9;76,1;76,4;77,7;75,3;75,7;79,5;93,5;95,9;97,9;101,2;105,4;107,7;109,0;110,6;112,4;111,4;108,8;126,8;123,7;121,9;119,9;122,6
GRC;Grèce;PT_B1GQ;Pourcentage du PIB;114,8;111,3;112,8;116,4;112,1;112,0;120,5;139,5;159,3;186,3;177,7;191,3;192,5;192,3;195,5;193,3;199,3;194,1;223,6;213,4;193,7;179,2;168,6
GRC;Grèce;XDC;Monnaie nationale;182371,0;193784,0;213106,0;226674,0;240249,4;256887,7;287710,7;326886,7;356227,7;379040,7;330306,7;340820,7;338931,9;337199,4;340971,4;342888,2;360045,2;359375,2;374626,4;393931,2;400924,2;402569,2;399098,2
IRL;Irlande;PT_B1GQ;Pourcentage du PIB;33,1;31,9;30,3;29,4;26,7;27,0;45,9;65,6;90,8;114,3;123,6;122,2;105,9;77,6;76,0;68,3;68,6;62,5;63,8;58,8;48,5;47,1;40,9
IRL;Irlande;XDC;Monnaie nationale;45017,9;46423,9;47286,0;50044,6;49421,9;53208,1;85963,9;111241,6;151887,0;197875,0;218266,6;223526,3;212397,7;211194,8;209752,5;210526,4;229845,0;227197,5;243591,8;263734,8;252383,1;247218,5;229934,1
ITA;Italie;PT_B1GQ;Pourcentage du PIB;105,9;105,1;104,7;106,2;106,3;103,5;105,8;116,1;118,8;119,1;125,9;131,9;134,8;134,8;134,2;133,7;134,2;133,9;154,4;145,8;138,4;133,9;134,7
ITA;Italie;XDC;Monnaie nationale;1436141,8;1470943,9;1526465,2;1591667,3;1657471,8;1677889,9;1739102,0;1839798,9;1921432,6;1974396,8;2055829,2;2137694,5;2205103,8;2241929,5;2288621,3;2333127,0;2385727,0;2415636,4;2578164,3;2686729,2;2764452,9;2869937,8;2966915,3
LUX;Luxembourg;XDC;Monnaie nationale;4544,0;5101,4;5680,8;5696,4;6027,0;6476,4;9830,2;8691,1;11505,7;11574,4;12387,2;13627,2;14142,8;14869,5;14225,3;15944,1;16900,9;18573,9;20485,3;22388,9;24726,9;26140,9;28425,9
LUX;Luxembourg;PT_B1GQ;Pourcentage du PIB;18,2;19,5;20,2;18,8;17,6;17,2;24,6;22,3;27,1;26,1;26,6;27,8;27,3;27,5;25,3;27,4;28,1;29,8;31,8;30,7;32,2;31,8;33,0
LVA;Lettonie;PT_B1GQ;Pourcentage du PIB;16,5;18,3;19,0;15,7;15,8;14,0;24,8;43,3;54,6;52,9;49,2;46,7;50,7;45,6;49,9;47,5;47,2;46,1;53,1;57,9;56,9;55,8;58,4
LVA;Lettonie;XDC;Monnaie nationale;1339,5;1671,3;2017,8;2050,9;2580,3;3011,8;5798,9;8008,7;9679,5;10119,3;10382,2;10246,2;11564,4;10839,1;12213,6;12353,1;13295,8;13618,9;15527,6;18699,4;20528,9;22083,6;23731,3
NLD;Pays-Bas;XDC;Monnaie nationale;275962,0;291437,0;300022,0;308101,0;300796,0;307562,0;390434,0;391195,0;420174,0;442516,0;473238,0;491949,0;501909,0;495803,0;487040,0;471014,0;459160,0;446357,0;493671,0;515083,0;547702,0;547178,0;561500,0
NLD;Pays-Bas;PT_B1GQ;Pourcentage du PIB;54,9;56,6;56,4;55,7;51,2;49,4;59,9;62,1;65,3;67,5;71,9;73,9;74,0;70,9;67,6;62,7;58,3;53,8;60,5;57,8;55,1;52,1;50,0
PRT;Portugal;PT_B1GQ;Pourcentage du PIB;68,2;72,5;76,9;80,5;81,7;79,9;81,9;94,5;108,9;126,6;138,8;140,8;141,6;138,8;138,5;132,9;127,3;121,8;140,3;130,3;117,3;104,5;99,7
PRT;Portugal;XDC;Monnaie nationale;97291,8;105925,3;117033,7;127617,0;135892,0;140160,2;146719,5;165840,1;195891,8;223196,9;233967,4;240283,2;245289,0;248922,4;258046,1;259739,2;261043,6;261234,3;281993,3;282052,0;286087,7;282487,5;288960,2
SVK;République slovaque;XDC;Monnaie nationale;;;;;20672,3;22737,6;23859,8;28501,1;33283,3;36004,8;43897,5;44242,0;44857,9;45939,3;47445,6;48049,3;49657,2;50661,9;60901,0;67132,5;72261,6;76384,9;84530,5
SVK;République slovaque;PT_B1GQ;Pourcentage du PIB;;;;;36,7;36,0;34,8;44,5;48,4;50,3;59,5;59,3;58,6;57,2;58,1;56,6;55,0;53,6;64,6;65,9;65,7;61,8;64,9
