Cde_Âge;Cde_Pays;Pays;Cde_Mesure;Mesure;Cde_Sexe;Sexe;Âge;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Y_GE65;FIN;Finlande;PS;Personnes;M;Sexe masculin;65 ans et plus;308899,000;316780,000;325929,000;333711,000;343975,000;353345,000;360403,000;370318,000;383522,000;401691,000;421721,000;441710,000;460844,000;478349,000;493662,000;508176,000;522229,000;535226,000;547952,000;560010,000;569795,000;577382,000;585666,000
Y_GE65;FIN;Finlande;PS;Personnes;F;Sexe féminin;65 ans et plus;484070,000;489100,000;496140,000;502342,000;510967,000;518630,000;523243,000;530935,000;542216,000;558649,000;577195,000;595662,000;613122,000;628896,000;642875,000;656467,000;669848,000;682831,000;695652,000;707476,000;716980,000;724556,000;733426,000
Y15T64;FIN;Finlande;PS;Personnes;F;Sexe féminin;De 15 à 64 ans;1720383,000;1722958,000;1725506,000;1730661,000;1734599,000;1740254,000;1748984,000;1754332,000;1755122,000;1749728,000;1741874,000;1733177,000;1724449,000;1715866,000;1707976,000;1699764,000;1691273,000;1684610,000;1679619,000;1676570,000;1677269,000;1686871,000;1700358,000
Y_GE65;FIN;Finlande;PT_POP;Pourcentage de la population;M;Sexe masculin;65 ans et plus;12,155;12,428;12,744;12,999;13,342;13,641;13,839;14,143;14,573;15,184;15,857;16,522;17,157;17,738;18,237;18,712;19,191;19,636;20,064;20,450;20,733;20,892;21,049
Y_GE65;FIN;Finlande;PT_POP;Pourcentage de la population;_T;Total;65 ans et plus;15,248;15,459;15,724;15,937;16,234;16,487;16,631;16,881;17,260;17,823;18,451;19,073;19,664;20,207;20,682;21,144;21,613;22,060;22,490;22,875;23,160;23,316;23,472
Y_GE65;FIN;Finlande;PT_POP;Pourcentage de la population;F;Sexe féminin;65 ans et plus;18,203;18,359;18,577;18,752;19,008;19,220;19,314;19,516;19,850;20,368;20,955;21,539;22,091;22,599;23,055;23,508;23,972;24,423;24,858;25,244;25,535;25,691;25,847
Y_LT15;FIN;Finlande;PT_POP;Pourcentage de la population;_T;Total;Moins de 15 ans;17,869;17,716;17,546;17,360;17,167;16,977;16,804;16,665;16,557;16,486;16,442;16,422;16,402;16,358;16,288;16,199;16,070;15,876;15,660;15,454;15,228;14,977;14,702
Y_LT15;FIN;Finlande;PT_POP;Pourcentage de la population;F;Sexe féminin;Moins de 15 ans;17,105;16,968;16,814;16,644;16,467;16,290;16,129;15,999;15,898;15,839;15,805;15,789;15,775;15,742;15,692;15,622;15,503;15,322;15,124;14,933;14,729;14,495;14,230
Y_LT15;FIN;Finlande;PT_POP;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;18,668;18,498;18,311;18,107;17,897;17,694;17,507;17,358;17,241;17,158;17,103;17,078;17,050;16,992;16,903;16,793;16,652;16,445;16,210;15,988;15,737;15,468;15,184
Y15T64;FIN;Finlande;PT_POP;Pourcentage de la population;M;Sexe masculin;De 15 à 64 ans;69,176;69,074;68,945;68,894;68,761;68,665;68,654;68,499;68,186;67,658;67,040;66,401;65,793;65,269;64,859;64,495;64,157;63,920;63,726;63,563;63,530;63,640;63,767
Y15T64;FIN;Finlande;PT_POP;Pourcentage de la population;F;Sexe féminin;De 15 à 64 ans;64,692;64,673;64,609;64,604;64,526;64,491;64,558;64,485;64,252;63,794;63,240;62,672;62,133;61,659;61,253;60,869;60,526;60,254;60,018;59,823;59,736;59,813;59,923
Y15T64;FIN;Finlande;PT_POP;Pourcentage de la population;_T;Total;De 15 à 64 ans;66,883;66,825;66,730;66,703;66,599;66,535;66,565;66,454;66,183;65,691;65,107;64,505;63,933;63,436;63,030;62,657;62,317;62,064;61,849;61,671;61,613;61,707;61,826
Y15T64;FRA;France;PS;Personnes;_T;Total;De 15 à 64 ans;40036262,000;40334317,000;40643943,000;40967918,000;41288023,000;41546796,000;41716240,000;41830652,000;41942890,000;41969558,000;41897771,000;41836202,000;41893489,000;41810564,000;41721962,000;41665470,000;41671167,000;41677958,000;41717790,000;41876070,000;42028294,000;42118042,000;42198234,000
Y_GE65;FRA;France;PS;Personnes;_T;Total;65 ans et plus;9910704,000;10028255,000;10158217,000;10284039,000;10358305,000;10431772,000;10544351,000;10669613,000;10800330,000;11025429,000;11350025,000;11695697,000;12053374,000;12393831,000;12720473,000;13023872,000;13314321,000;13602819,000;13855360,000;14086960,000;14314285,000;14545272,000;14796813,000
Y15T64;FRA;France;PS;Personnes;M;Sexe masculin;De 15 à 64 ans;19858554,000;19991787,000;20131405,000;20279291,000;20431887,000;20553939,000;20627914,000;20677482,000;20728295,000;20734764,000;20693335,000;20658049,000;20673929,000;20620554,000;20568569,000;20536531,000;20540963,000;20551278,000;20583721,000;20683046,000;20777643,000;20838612,000;20894695,000
Y_GE65;FRA;France;PS;Personnes;M;Sexe masculin;65 ans et plus;4027805,000;4082271,000;4140473,000;4194941,000;4231092,000;4273632,000;4336304,000;4405060,000;4476050,000;4593046,000;4759391,000;4934581,000;5113738,000;5282007,000;5437269,000;5581768,000;5723231,000;5861198,000;5979611,000;6089238,000;6199821,000;6312449,000;6435594,000
Y_GE65;FRA;France;PS;Personnes;F;Sexe féminin;65 ans et plus;5882899,000;5945984,000;6017744,000;6089098,000;6127213,000;6158140,000;6208047,000;6264553,000;6324280,000;6432383,000;6590634,000;6761116,000;6939636,000;7111824,000;7283204,000;7442104,000;7591090,000;7741621,000;7875749,000;7997722,000;8114464,000;8232823,000;8361219,000
Y15T64;FRA;France;PS;Personnes;F;Sexe féminin;De 15 à 64 ans;20177708,000;20342530,000;20512538,000;20688627,000;20856136,000;20992857,000;21088326,000;21153170,000;21214595,000;21234794,000;21204436,000;21178153,000;21219560,000;21190010,000;21153393,000;21128939,000;21130204,000;21126680,000;21134069,000;21193024,000;21250651,000;21279430,000;21303539,000
Y_GE65;FRA;France;PT_POP;Pourcentage de la population;M;Sexe masculin;65 ans et plus;13,490;13,583;13,684;13,768;13,793;13,844;13,969;14,118;14,273;14,574;15,027;15,499;15,934;16,407;16,853;17,256;17,628;17,989;18,287;18,527;18,776;19,055;19,367
Y_GE65;FRA;France;PT_POP;Pourcentage de la population;_T;Total;65 ans et plus;16,088;16,165;16,256;16,335;16,340;16,356;16,441;16,553;16,674;16,939;17,354;17,792;18,186;18,634;19,074;19,473;19,835;20,197;20,505;20,753;21,003;21,283;21,595
Y_GE65;FRA;France;PT_POP;Pourcentage de la population;F;Sexe féminin;65 ans et plus;18,531;18,591;18,670;18,741;18,728;18,711;18,760;18,837;18,928;19,160;19,539;19,945;20,301;20,723;21,157;21,549;21,903;22,267;22,585;22,843;23,097;23,380;23,692
Y_LT15;FRA;France;PT_POP;Pourcentage de la population;_T;Total;Moins de 15 ans;18,923;18,819;18,705;18,594;18,530;18,505;18,512;18,552;18,572;18,579;18,585;18,565;18,604;18,505;18,363;18,232;18,085;17,920;17,754;17,554;17,329;17,088;16,821
Y_LT15;FRA;France;PT_POP;Pourcentage de la population;F;Sexe féminin;Moins de 15 ans;17,910;17,804;17,690;17,583;17,526;17,502;17,511;17,556;17,580;17,591;17,598;17,579;17,625;17,533;17,395;17,271;17,130;16,967;16,808;16,625;16,416;16,191;15,942
Y_LT15;FRA;France;PT_POP;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;20,001;19,899;19,786;19,672;19,601;19,574;19,579;19,614;19,630;19,631;19,636;19,615;19,646;19,541;19,396;19,257;19,105;18,938;18,763;18,545;18,301;18,041;17,755
Y15T64;FRA;France;PT_POP;Pourcentage de la population;M;Sexe masculin;De 15 à 64 ans;66,509;66,518;66,531;66,560;66,606;66,582;66,451;66,268;66,097;65,794;65,337;64,886;64,420;64,052;63,751;63,487;63,268;63,074;62,950;62,929;62,923;62,904;62,878
Y15T64;FRA;France;PT_POP;Pourcentage de la population;F;Sexe féminin;De 15 à 64 ans;63,559;63,604;63,640;63,676;63,746;63,786;63,728;63,607;63,492;63,250;62,863;62,475;62,074;61,744;61,448;61,180;60,967;60,766;60,606;60,532;60,487;60,430;60,366
Y15T64;FRA;France;PT_POP;Pourcentage de la population;_T;Total;De 15 à 64 ans;64,989;65,016;65,040;65,071;65,130;65,139;65,046;64,895;64,753;64,482;64,061;63,643;63,210;62,861;62,562;62,296;62,080;61,883;61,741;61,693;61,667;61,629;61,584
Y15T64;GRC;Grèce;PS;Personnes;_T;Total;De 15 à 64 ans;7279563,000;7288047,000;7301981,000;7321993,000;7345798,000;7367691,000;7383182,000;7385008,000;7365539,000;7314648,000;7230056,000;7134205,000;7049604,000;6972579,500;6913955,000;6874061,000;6839289,000;6814549,000;6782440,000;6708840,000;6644856,000;6623592,000;6604392,000
Y_GE65;GRC;Grèce;PS;Personnes;_T;Total;65 ans et plus;1921272,000;1956623,000;1989575,000;2018267,000;2041039,000;2057753,000;2073587,000;2096461,000;2127908,000;2163085,000;2194106,000;2223141,000;2253799,000;2280963,000;2306296,000;2329951,000;2351718,000;2374736,000;2397027,000;2390508,000;2381853,000;2408324,000;2445688,000
Y15T64;GRC;Grèce;PS;Personnes;M;Sexe masculin;De 15 à 64 ans;3667018,000;3673209,000;3681239,000;3691457,000;3700915,000;3706649,000;3707815,000;3702014,000;3685371,000;3650980,000;3596111,000;3533973,000;3480154,000;3432993,000;3402335,000;3385979,000;3373327,000;3370067,000;3360563,000;3339097,000;3322504,000;3320245,000;3325523,000
Y_GE65;GRC;Grèce;PS;Personnes;M;Sexe masculin;65 ans et plus;850410,000;865700,000;879638,000;891408,000;901037,000;908626,000;915810,000;926047,000;940290,000;956159,000;969943,000;982811,000;996763,000;1009866,500;1022266,000;1033614,000;1043876,000;1054462,000;1064757,000;1060615,000;1054726,000;1066008,000;1082818,000
Y_GE65;GRC;Grèce;PS;Personnes;F;Sexe féminin;65 ans et plus;1070862,000;1090923,000;1109937,000;1126859,000;1140002,000;1149127,000;1157777,000;1170414,000;1187618,000;1206926,000;1224163,000;1240330,000;1257036,000;1271096,500;1284030,000;1296337,000;1307842,000;1320274,000;1332270,000;1329893,000;1327127,000;1342316,000;1362870,000
Y15T64;GRC;Grèce;PS;Personnes;F;Sexe féminin;De 15 à 64 ans;3612545,000;3614838,000;3620742,000;3630536,000;3644883,000;3661042,000;3675367,000;3682994,000;3680168,000;3663668,000;3633945,000;3600232,000;3569450,000;3539586,500;3511620,000;3488082,000;3465962,000;3444482,000;3421877,000;3369743,000;3322352,000;3303347,000;3278869,000
Y_GE65;GRC;Grèce;PT_POP;Pourcentage de la population;M;Sexe masculin;65 ans et plus;15,784;16,030;16,253;16,429;16,570;16,687;16,798;16,965;17,230;17,581;17,978;18,406;18,839;19,249;19,573;19,818;20,039;20,232;20,453;20,573;20,670;20,928;21,234
Y_GE65;GRC;Grèce;PT_POP;Pourcentage de la population;_T;Total;65 ans et plus;17,623;17,905;18,161;18,369;18,521;18,625;18,718;18,875;19,134;19,479;19,865;20,274;20,691;21,079;21,402;21,665;21,911;22,149;22,405;22,618;22,822;23,141;23,533
Y_GE65;GRC;Grèce;PT_POP;Pourcentage de la population;F;Sexe féminin;65 ans et plus;19,420;19,736;20,025;20,262;20,421;20,508;20,580;20,721;20,967;21,300;21,667;22,048;22,441;22,802;23,122;23,404;23,677;23,963;24,255;24,565;24,880;25,262;25,747
Y_LT15;GRC;Grèce;PT_POP;Pourcentage de la population;_T;Total;Moins de 15 ans;15,604;15,404;15,185;14,991;14,823;14,690;14,633;14,635;14,638;14,653;14,675;14,663;14,588;14,484;14,437;14,419;14,366;14,292;14,199;13,907;13,511;13,216;12,918
Y_LT15;GRC;Grèce;PT_POP;Pourcentage de la population;F;Sexe féminin;Moins de 15 ans;15,065;14,869;14,653;14,457;14,288;14,156;14,090;14,077;14,060;14,042;14,015;13,953;13,837;13,703;13,642;13,623;13,576;13,521;13,448;13,192;12,837;12,570;12,308
Y_LT15;GRC;Grèce;PT_POP;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;16,156;15,953;15,731;15,538;15,371;15,240;15,194;15,213;15,237;15,289;15,366;15,412;15,383;15,314;15,282;15,263;15,203;15,107;14,992;14,658;14,217;13,889;13,551
Y15T64;GRC;Grèce;PT_POP;Pourcentage de la population;M;Sexe masculin;De 15 à 64 ans;68,060;68,017;68,017;68,034;68,059;68,073;68,008;67,821;67,533;67,130;66,656;66,182;65,777;65,436;65,145;64,919;64,758;64,661;64,555;64,769;65,113;65,183;65,214
Y15T64;GRC;Grèce;PT_POP;Pourcentage de la population;F;Sexe féminin;De 15 à 64 ans;65,515;65,396;65,322;65,281;65,291;65,336;65,330;65,203;64,973;64,658;64,318;63,999;63,722;63,495;63,236;62,973;62,747;62,517;62,297;62,243;62,284;62,168;61,945
Y15T64;GRC;Grèce;PT_POP;Pourcentage de la population;_T;Total;De 15 à 64 ans;66,773;66,691;66,653;66,640;66,657;66,685;66,648;66,490;66,229;65,869;65,460;65,062;64,720;64,436;64,161;63,917;63,723;63,559;63,396;63,475;63,667;63,643;63,549
Y15T64;IRL;Irlande;PS;Personnes;_T;Total;De 15 à 64 ans;2653774,000;2703270,000;2751686,000;2821477,000;2905507,000;3020640,000;3087935,000;3098112,000;3082005,000;3066609,000;3055614,000;3051574,000;3058440,000;3075812,000;3104266,000;3148131,000;3194039,000;3241560,000;3290109,000;3319617,000;3388375,000;3463677,000;3536767,000
Y_GE65;IRL;Irlande;PS;Personnes;_T;Total;65 ans et plus;436001,000;441905,000;449691,000;458881,000;462364,000;471021,000;483744,000;498902,000;515053,000;531563,000;550057,000;569186,000;589484,000;610270,000;629847,000;652408,000;676427,000;701372,000;726115,000;747449,000;781299,000;806296,000;833209,000
Y15T64;IRL;Irlande;PS;Personnes;M;Sexe masculin;De 15 à 64 ans;1332965,000;1356949,000;1382444,000;1421969,000;1469328,000;1528270,000;1554940,000;1553302,000;1538314,000;1529004,000;1517978,000;1516703,000;1516956,000;1523126,000;1539164,000;1559671,000;1583191,000;1606405,000;1629921,000;1645846,000;1674744,000;1709698,000;1748116,000
Y_GE65;IRL;Irlande;PS;Personnes;M;Sexe masculin;65 ans et plus;189155,000;192355,000;196814,000;201861,000;204516,000;209834,000;216158,000;224846,000;233380,000;241575,000;251662,000;261677,000;272516,000;282840,000;293217,000;304759,000;316986,000;329071,000;341914,000;352493,000;368209,000;379928,000;393148,000
Y_GE65;IRL;Irlande;PS;Personnes;F;Sexe féminin;65 ans et plus;246846,000;249550,000;252877,000;257020,000;257848,000;261187,000;267586,000;274056,000;281673,000;289988,000;298395,000;307509,000;316968,000;327430,000;336630,000;347649,000;359441,000;372301,000;384201,000;394956,000;413090,000;426368,000;440061,000
Y15T64;IRL;Irlande;PS;Personnes;F;Sexe féminin;De 15 à 64 ans;1320809,000;1346321,000;1369242,000;1399508,000;1436179,000;1492370,000;1532995,000;1544810,000;1543691,000;1537605,000;1537636,000;1534871,000;1541484,000;1552686,000;1565102,000;1588460,000;1610848,000;1635155,000;1660188,000;1673771,000;1713631,000;1753979,000;1788651,000
Y_GE65;IRL;Irlande;PT_POP;Pourcentage de la population;M;Sexe masculin;65 ans et plus;9,719;9,730;9,782;9,790;9,659;9,576;9,656;9,961;10,317;10,640;11,062;11,446;11,853;12,203;12,496;12,801;13,101;13,397;13,722;14,021;14,372;14,578;14,795
Y_GE65;IRL;Irlande;PT_POP;Pourcentage de la population;_T;Total;65 ans et plus;11,130;11,104;11,117;11,101;10,923;10,764;10,786;11,005;11,308;11,619;11,974;12,334;12,690;13,018;13,289;13,561;13,847;14,145;14,436;14,729;15,071;15,266;15,486
Y_GE65;IRL;Irlande;PT_POP;Pourcentage de la population;F;Sexe féminin;65 ans et plus;12,524;12,459;12,437;12,404;12,188;11,956;11,911;12,041;12,286;12,584;12,869;13,206;13,509;13,815;14,067;14,306;14,579;14,879;15,137;15,424;15,755;15,936;16,160
Y_LT15;IRL;Irlande;PT_POP;Pourcentage de la population;_T;Total;Moins de 15 ans;21,123;20,973;20,860;20,646;20,436;20,206;20,365;20,655;21,026;21,350;21,508;21,538;21,473;21,368;21,215;21,001;20,767;20,481;20,153;19,856;19,566;19,154;18,778
Y_LT15;IRL;Irlande;PT_POP;Pourcentage de la population;F;Sexe féminin;Moins de 15 ans;20,466;20,324;20,221;20,052;19,927;19,730;19,849;20,087;20,380;20,691;20,816;20,878;20,796;20,673;20,531;20,327;20,082;19,771;19,452;19,211;18,890;18,505;18,155
Y_LT15;IRL;Irlande;PT_POP;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;21,789;21,630;21,505;21,243;20,945;20,681;20,883;21,228;21,682;22,018;22,214;22,210;22,164;22,080;21,912;21,690;21,464;21,204;20,866;20,512;20,258;19,820;19,418
Y15T64;IRL;Irlande;PT_POP;Pourcentage de la population;M;Sexe masculin;De 15 à 64 ans;68,492;68,640;68,713;68,966;69,396;69,743;69,461;68,811;68,001;67,342;66,724;66,344;65,982;65,717;65,593;65,510;65,434;65,399;65,412;65,467;65,370;65,602;65,787
Y15T64;IRL;Irlande;PT_POP;Pourcentage de la population;F;Sexe féminin;De 15 à 64 ans;67,011;67,217;67,342;67,544;67,885;68,314;68,240;67,872;67,334;66,725;66,315;65,916;65,696;65,512;65,402;65,367;65,338;65,350;65,411;65,365;65,356;65,558;65,685
Y15T64;IRL;Irlande;PT_POP;Pourcentage de la population;_T;Total;De 15 à 64 ans;67,747;67,924;68,024;68,253;68,641;69,030;68,849;68,340;67,666;67,031;66,518;66,128;65,837;65,613;65,496;65,438;65,386;65,374;65,411;65,415;65,363;65,580;65,735
Y15T64;ITA;Italie;PS;Personnes;_T;Total;De 15 à 64 ans;38216716,000;38299437,000;38459877,000;38509542,000;38506840,000;38659761,000;38910211,000;39068912,000;39187661,000;39202923,000;39126193,000;39036137,000;38880095,000;38704045,000;38554409,000;38429628,000;38310756,000;38153205,000;37856485,000;37573534,000;37480370,000;37450017,000;37385032,000
Y_GE65;ITA;Italie;PS;Personnes;_T;Total;65 ans et plus;10758410,000;10955921,000;11188262,000;11437573,000;11646051,000;11813082,000;11961443,000;12093027,000;12204149,000;12386858,000;12630326,000;12860262,000;13080411,000;13251468,000;13391566,000;13513547,000;13629179,000;13776150,000;13900309,000;13996468,000;14116349,000;14269017,000;14464951,000
Y15T64;ITA;Italie;PS;Personnes;M;Sexe masculin;De 15 à 64 ans;19034139,000;19080922,000;19169421,000;19200753,000;19196496,000;19259958,000;19366395,000;19426904,000;19464057,000;19456317,000;19421041,000;19388562,000;19321180,000;19248383,000;19199863,000;19170365,000;19141860,000;19077768,000;18937019,000;18824028,000;18802657,000;18809411,000;18814512,000
Y_GE65;ITA;Italie;PS;Personnes;M;Sexe masculin;65 ans et plus;4436930,000;4531885,000;4643734,000;4762975,000;4864151,000;4947115,000;5023289,000;5093016,000;5153944,000;5249945,000;5376541,000;5495880,000;5609684,000;5703077,000;5781811,000;5850756,000;5918196,000;5999773,000;6068805,000;6128180,000;6199599,000;6284300,000;6390488,000
Y_GE65;ITA;Italie;PS;Personnes;F;Sexe féminin;65 ans et plus;6321480,000;6424036,000;6544528,000;6674598,000;6781900,000;6865967,000;6938154,000;7000011,000;7050205,000;7136913,000;7253785,000;7364382,000;7470727,000;7548391,000;7609755,000;7662791,000;7710983,000;7776377,000;7831504,000;7868288,000;7916750,000;7984717,000;8074463,000
Y15T64;ITA;Italie;PS;Personnes;F;Sexe féminin;De 15 à 64 ans;19182577,000;19218515,000;19290456,000;19308789,000;19310344,000;19399803,000;19543816,000;19642008,000;19723604,000;19746606,000;19705152,000;19647575,000;19558915,000;19455662,000;19354546,000;19259263,000;19168896,000;19075437,000;18919466,000;18749506,000;18677713,000;18640606,000;18570520,000
Y_GE65;ITA;Italie;PT_POP;Pourcentage de la population;M;Sexe masculin;65 ans et plus;16,054;16,304;16,575;16,896;17,186;17,377;17,513;17,658;17,797;18,070;18,449;18,810;19,188;19,524;19,810;20,059;20,307;20,624;20,957;21,247;21,514;21,797;22,142
Y_GE65;ITA;Italie;PT_POP;Pourcentage de la population;_T;Total;65 ans et plus;18,845;19,087;19,347;19,663;19,942;20,105;20,201;20,305;20,402;20,636;20,984;21,323;21,685;22,002;22,276;22,522;22,762;23,064;23,386;23,669;23,920;24,191;24,537
Y_GE65;ITA;Italie;PT_POP;Pourcentage de la population;F;Sexe féminin;65 ans et plus;21,464;21,700;21,953;22,265;22,533;22,670;22,727;22,791;22,845;23,041;23,362;23,684;24,033;24,335;24,604;24,851;25,090;25,381;25,693;25,976;26,217;26,480;26,834
Y_LT15;ITA;Italie;PT_POP;Pourcentage de la population;_T;Total;Moins de 15 ans;14,214;14,188;14,145;14,131;14,122;14,098;14,084;14,094;14,088;14,055;14,013;13,953;13,860;13,738;13,589;13,431;13,256;13,059;12,924;12,790;12,568;12,317;12,048
Y_LT15;ITA;Italie;PT_POP;Pourcentage de la population;F;Sexe féminin;Moins de 15 ans;13,405;13,381;13,341;13,323;13,307;13,276;13,254;13,256;13,242;13,207;13,173;13,128;13,048;12,943;12,820;12,689;12,539;12,359;12,236;12,125;11,929;11,701;11,452
Y_LT15;ITA;Italie;PT_POP;Pourcentage de la population;M;Sexe masculin;Moins de 15 ans;15,076;15,048;15,002;14,990;14,988;14,972;14,968;14,986;14,990;14,960;14,908;14,831;14,722;14,581;14,405;14,216;14,012;13,795;13,648;13,488;13,238;12,962;12,670
Y15T64;ITA;Italie;PT_POP;Pourcentage de la population;M;Sexe masculin;De 15 à 64 ans;68,870;68,648;68,423;68,114;67,826;67,651;67,519;67,356;67,213;66,969;66,643;66,359;66,089;65,895;65,785;65,725;65,681;65,580;65,394;65,265;65,249;65,241;65,188
Y15T64;ITA;Italie;PT_POP;Pourcentage de la population;F;Sexe féminin;De 15 à 64 ans;65,131;64,919;64,707;64,411;64,160;64,054;64,019;63,953;63,912;63,752;63,464;63,188;62,919;62,722;62,577;62,460;62,372;62,260;62,070;61,899;61,853;61,819;61,715
Y15T64;ITA;Italie;PT_POP;Pourcentage de la population;_T;Total;De 15 à 64 ans;66,941;66,725;66,507;66,205;65,937;65,797;65,714;65,601;65,510;65,309;65,003;64,724;64,456;64,261;64,134;64,047;63,982;63,877;63,690;63,541;63,511;63,492;63,415
Y15T64;LTU;Lituanie;PS;Personnes;_T;Total;De 15 à 64 ans;2296345,000;2284871,000;2263168,000;2229708,000;2198565,000;2178646,000;2161764,000;2140737,000;2089953,000;2034555,000;2004689,000;1981888,000;1959665,000;1932485,000;1895933,000;1855626,000;1827811,000;1817663,000;1815817,000;1830867,000;1843235,000;1869252,000;1879464,000
Y_GE65;LTU;Lituanie;PS;Personnes;_T;Total;65 ans et plus;506297,000;518167,000;527633,000;533531,000;538507,000;543504,000;546843,000;546322,000;545101,000;544320,000;542765,000;542468,000;544927,000;547820,000;549363,000;550998,000;552085,000;554174,000;556511,000;560283,000;566147,000;579324,000;595271,000
Y15T64;LTU;Lituanie;PS;Personnes;M;Sexe masculin;De 15 à 64 ans;1104350,000;1100637,000;1091541,000;1075501,000;1059704,000;1049979,000;1042575,000;1031881,000;1006891,000;980882,000;967278,000;957749,000;948767,000;936175,000;919296,000;902987,000;894255,000;896364,000;903976,000;896400,000;906356,000;929713,000;946382,000
Y_GE65;LTU;Lituanie;PS;Personnes;M;Sexe masculin;65 ans et plus;175262,000;178325,000;181001,000;183012,000;184688,000;186063,000;186627,000;185778,000;184729,000;183934,000;182878,000;182444,000;183176,000;184231,000;184816,000;185478,000;186087,000;187195,000;188304,000;195269,000;198254,000;204286,000;211496,000
Y_GE65;LTU;Lituanie;PS;Personnes;F;Sexe féminin;65 ans et plus;331035,000;339842,000;346632,000;350519,000;353819,000;357441,000;360216,000;360544,000;360372,000;360386,000;359887,000;360024,000;361751,000;363589,000;364547,000;365520,000;365998,000;366979,000;368207,000;365014,000;367893,000;375036,000;383775,000
Y15T64;LTU;Lituanie;PS;Personnes;F;Sexe féminin;De 15 à 64 ans;1191995,000;1184234,000;1171627,000;1154207,000;1138861,000;1128667,000;1119189,000;1108856,000;1083062,000;1053673,000;1037411,000;1024139,000;1010898,000;996310,000;976637,000;952639,000;933556,000;921299,000;911841,000;934467,000;936879,000;939536,000;933080,000
Y_GE65;LTU;Lituanie;PT_POP;Pourcentage de la population;M;Sexe masculin;65 ans et plus;10,904;11,197;11,506;11,843;12,170;12,428;12,607;12,709;12,930;13,182;13,289;13,391;13,557;13,770;13,992;14,216;14,354;14,400;14,386;14,954;15,006;15,123;15,440
Y_GE65;LTU;Lituanie;PT_POP;Pourcentage de la population;_T;Total;65 ans et plus;14,705;15,172;15,624;16,058;16,469;16,820;17,098;17,273;17,599;17,976;18,166;18,341;18,583;18,858;19,153;19,481;19,706;19,833;19,912;19,950;19,994;20,174;20,611
